Entity,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bahrain,2590448.0,3037456.0,3678656.0,5517984.0,5400736.0,5748816.0,6569552.0,7463568.0,7760352.0,8126752.0,7881264.0,8518800.0,9830512.0,8222016.5,9200304.0,10185920.0,11002992.0,11420688.0,12142559.0,11716746.0,11555729.0,11391223.0,10492517.0,16839962.0,14443015.0,14823117.0,16018644.0,17288858.0,18366356.0,18314830.0,19233764.0,15374893.0,15868013.0,16769491.0,17883504.0,19804052.0,19421150.0,26771124.0,29681318.0,28098070.0,29075436.0,28467646.0,27118990.0,31157658.0,30899728.0,32459652.0,31559504.0,32835182.0,32636948.0,37583132.0,37395950.0,38122464.0,37795670.0
Bangladesh,3803195.0,3605832.0,3505921.0,4549694.0,4653084.0,4856723.0,5555798.0,5784754.0,5984423.0,6612648.0,7597219.0,7886136.0,8552288.0,8188282.0,9077160.0,10189161.0,11405807.0,11799727.0,13478441.0,13382363.0,14081596.0,14741983.0,15379904.0,16062897.0,17538016.0,21041714.0,21492816.0,23125868.0,23197800.0,25074988.0,26524610.0,31034908.0,31981244.0,33459294.0,35945412.0,37676584.0,41689170.0,42642130.0,45300870.0,49148070.0,53991556.0,56556344.0,60707800.0,61798984.0,66008996.0,73157550.0,76203280.0,80741780.0,82555700.0,100791880.0,93614960.0,98760296.0,102103340.0
Barbados,428688.0,483648.0,501968.03,479984.0,490976.0,567920.0,531280.0,589904.0,630208.0,600896.0,674176.0,685168.0,644864.0,685168.0,746995.0,845711.0,915407.0,941049.0,944787.0,988686.0,1275266.0,1418175.0,1361827.0,1096878.0,1163526.0,1282955.0,1339005.0,1540428.0,1572115.0,1653427.0,1748824.0,1651888.0,1657568.0,1699495.0,1720192.0,1762496.0,1775152.0,1802221.0,2081465.0,2000142.1,1845064.0,1941506.0,1803368.0,1822085.0,1690056.0,1686392.0,1693720.0,1644597.0,1655590.0,1666716.0,1233549.0,1226393.0,1232837.0
Belarus,65798090.0,69832370.0,73492616.0,76619990.0,79563590.0,83637470.0,86817990.0,89745016.0,92827690.0,93562220.0,97202570.0,95372456.0,97143720.0,98501310.0,99339960.0,107063336.0,121551550.0,112490520.0,114307260.0,109141630.0,108345060.0,104071656.0,93482970.0,80561816.0,67879400.0,60905644.0,61734784.0,61588412.0,60073450.0,57965508.0,54905984.0,54002984.0,53844144.0,55087984.0,58253532.0,59310290.0,61743588.0,60218140.0,62836412.0,60577744.0,62445120.0,61307590.0,62545264.0,64125556.0,63648870.0,58798910.0,58134484.0,59381852.0,62156932.0,62096344.0,59055548.0,60938200.0,58801130.0
Belgium,125490456.0,121370504.0,130637680.0,138639170.0,134950100.0,121823030.0,129677600.0,126199330.0,135450270.0,139786510.0,134835790.0,123573624.0,117101900.0,101201840.0,104966536.0,104004500.0,102366760.0,102588710.0,99742824.0,106792080.0,120292800.0,123362620.0,122488490.0,121423870.0,124796744.0,125936296.0,129478744.0,123990620.0,130223496.0,124681140.0,126721544.0,126066060.0,126863016.0,128248340.0,128770830.0,125627920.0,123872980.0,120463270.0,120170040.0,107765100.0,114604104.0,105068560.0,102404520.0,102714744.0,97029240.0,101145630.0,99623020.0,99055040.0,99967320.0,99470264.0,91101384.0,95668080.0,89605360.0
Belize,120912.0,142896.0,157552.0,146560.0,153888.0,175872.0,175872.0,197856.0,216176.0,208848.0,190528.0,183200.0,172208.0,172208.0,172208.0,190528.0,205184.0,227168.0,249152.0,300448.0,311440.0,406704.0,355408.0,377392.0,373728.0,377392.0,307776.0,388384.0,370064.0,348080.0,395712.0,447008.0,432352.0,432352.0,392048.0,421360.0,443344.0,476320.0,436016.0,516623.97,538608.0,553264.0,450672.0,439680.0,468992.0,641200.0,626544.0,615552.0,604560.0,707152.0,613332.0,702059.0,725231.0
Benin,282128.0,293120.0,388384.0,381056.0,406704.0,443344.0,260144.0,296784.0,362736.0,366400.0,479826.0,387291.0,442545.0,404411.0,448296.0,686373.0,624003.0,473696.0,508050.03,570164.0,579346.0,619650.0,670946.0,807422.0,911527.0,956267.0,1183806.0,1223975.0,1113856.0,1461936.0,1472928.0,1689104.0,2110055.0,2393998.0,2593600.0,2489730.0,3351106.0,3930960.0,3918994.0,4224517.0,4679390.0,4479719.0,4402539.0,4565975.0,4796000.0,5328876.0,6494014.0,6804151.0,7434497.0,7116143.0,7744662.0,8312495.0,8432160.0
Bermuda,227168.0,230832.0,252815.98,425024.0,443344.0,458000.0,468992.0,454336.0,425024.0,461664.0,436016.0,388384.0,395712.0,450672.0,443344.0,450672.0,421360.0,571584.0,644864.0,780432.0,501968.03,538608.0,461664.0,538608.0,531280.0,531280.0,527616.0,523952.0,520288.0,512960.03,516623.97,527616.0,556928.0,560592.0,582576.0,582576.0,652192.0,729136.0,648528.0,476320.0,608224.0,443344.0,366400.0,534944.0,670512.0,538608.0,619216.0,633872.0,696160.0,593568.0,458000.0,441341.0,445408.0
Bhutan,3664.0,3664.0,3664.0,3664.0,3664.0,3664.0,3664.0,7328.0,10992.0,21984.0,21984.0,55349.0,62680.996,86749.0,108740.0,119740.0,112419.0,160059.0,167395.0,119770.0,185730.0,185738.0,215057.0,181786.0,212410.0,248966.0,298272.0,390105.0,382195.0,385869.0,396871.0,384229.0,416511.0,376217.0,307913.0,395860.0,393510.0,393522.0,422152.0,389881.0,487768.0,732023.0,835194.0,918201.0,1028223.06,1056506.0,1261386.0,1341511.0,1477737.0,1458625.0,919762.0,1062180.0,1055528.0
Bolivia,2483717.0,3058935.0,3568142.0,3454469.0,3512944.0,4054978.8,4574829.0,4474857.0,5020144.0,4730077.0,4658973.0,4781038.0,4337867.0,4278137.0,4029341.2,4109758.0,3763680.0,4011800.8,4286778.0,4968446.0,10006868.0,10495215.0,11014244.0,11550309.0,9638258.0,9016550.0,10016150.0,11721163.0,11252271.0,10939507.0,8433878.0,8742807.0,10403424.0,10968004.0,11031935.0,12312617.0,12332331.0,12695380.0,12965221.0,13538143.0,14718776.0,15948673.0,17535340.0,17769010.0,19887892.0,19886526.0,21239286.0,22171246.0,22501642.0,22605112.0,18326306.0,21725994.0,21493740.0
